alpha,penalty,loss,l1_ratio,warm_start,accuracy,precision,recall,f1,true-negative,false-negative,false-positive,true-positive
0.0001,l1,squared_epsilon_insensitive,0.3,True,0.34210526315789475,0.34210526315789475,1.0,0.5098039215686275,0,0,125,65
0.0001,l1,squared_epsilon_insensitive,0.45,False,0.6578947368421053,0.0,0.0,0.0,125,65,0,0
0.0001,l1,squared_epsilon_insensitive,0.45,True,0.6578947368421053,0.0,0.0,0.0,125,65,0,0
0.0001,l1,squared_epsilon_insensitive,0.6,False,0.6578947368421053,0.0,0.0,0.0,125,65,0,0
0.0001,l1,squared_epsilon_insensitive,0.6,True,0.6473684210526316,0.0,0.0,0.0,123,65,2,0
0.0001,l1,squared_epsilon_insensitive,0.75,False,0.34210526315789475,0.34210526315789475,1.0,0.5098039215686275,0,0,125,65
0.0001,l1,squared_epsilon_insensitive,0.75,True,0.6578947368421053,0.0,0.0,0.0,125,65,0,0
0.0001,elasticnet,hinge,0.15,False,0.7473684210526316,0.7297297297297297,0.4153846153846154,0.5294117647058824,115,38,10,27
0.0001,elasticnet,hinge,0.15,True,0.7052631578947368,0.5445544554455446,0.8461538461538461,0.6626506024096385,79,10,46,55
0.0001,elasticnet,hinge,0.3,False,0.7263157894736842,0.6857142857142857,0.36923076923076925,0.48,114,41,11,24
0.0001,elasticnet,hinge,0.3,True,0.7473684210526316,0.7575757575757576,0.38461538461538464,0.5102040816326531,117,40,8,25
0.0001,elasticnet,hinge,0.45,False,0.7421052631578947,0.625,0.6153846153846154,0.6201550387596899,101,25,24,40
0.0001,elasticnet,hinge,0.45,True,0.7631578947368421,0.6851851851851852,0.5692307692307692,0.6218487394957983,108,28,17,37
0.0001,elasticnet,hinge,0.6,False,0.7526315789473684,0.6666666666666666,0.5538461538461539,0.6050420168067226,107,29,18,36
0.0001,elasticnet,hinge,0.6,True,0.7473684210526316,0.8148148148148148,0.3384615384615385,0.4782608695652174,120,43,5,22
0.0001,elasticnet,hinge,0.75,False,0.7210526315789474,0.5714285714285714,0.7384615384615385,0.6442953020134228,89,17,36,48
0.0001,elasticnet,hinge,0.75,True,0.7421052631578947,0.6290322580645161,0.6,0.6141732283464566,102,26,23,39
0.0001,elasticnet,log,0.15,False,0.7631578947368421,0.6851851851851852,0.5692307692307692,0.6218487394957983,108,28,17,37
0.0001,elasticnet,log,0.15,True,0.7526315789473684,0.725,0.4461538461538462,0.5523809523809524,114,36,11,29
0.0001,elasticnet,log,0.3,False,0.7526315789473684,0.6551724137931034,0.5846153846153846,0.6178861788617886,105,27,20,38
0.0001,elasticnet,log,0.3,True,0.7526315789473684,0.6607142857142857,0.5692307692307692,0.6115702479338843,106,28,19,37
0.0001,elasticnet,log,0.45,False,0.6526315789473685,0.496,0.9538461538461539,0.6526315789473683,62,3,63,62
0.0001,elasticnet,log,0.45,True,0.7210526315789474,0.875,0.2153846153846154,0.345679012345679,123,51,2,14
0.0001,elasticnet,log,0.6,False,0.7157894736842105,0.8235294117647058,0.2153846153846154,0.3414634146341464,122,51,3,14
0.0001,elasticnet,log,0.6,True,0.7526315789473684,0.7045454545454546,0.47692307692307695,0.5688073394495413,112,34,13,31
0.0001,elasticnet,log,0.75,False,0.7473684210526316,0.7575757575757576,0.38461538461538464,0.5102040816326531,117,40,8,25
